"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"SORBS1"	1.08239618864667	0.708902651311423	0.888897326261261	0.75552255970394	1.16100275911674	0.61790003018384	2.16127507467924	0.625860178110548	0.751247208853786	0.217806853349816	0.716652683838398	0.103633099960844	1.10602848042326	0.191233365690038	0.103442007284409	0.239925229872019	0.249911916126742
"PLAC9"	0.379520329404811	0.617416230579976	1.32134514834606	0.560350664749983	0.374896633935127	1.28309639027395	0.150274739269764	0.0320696727082598	0.0483356611409432	0.478900185700059	0.38651301177205	0.789503906432954	0.0709070746665861	0.387304047355054	0.42152378607191	0.357913634103842	0.380971971650574
"KANK2"	1.09542521122257	2.01845544135445	2.24641186731839	2.40222409463573	1.82855307324364	2.2339524228389	2.36615064455344	1.99613570373268	1.27921759478332	1.83162806450785	1.09378271571278	3.5356981213999	1.24128618522337	0.872569070324679	1.64255403351873	1.92240134728993	0.623239656128072
"TNS1"	2.0850632979027	2.18404160323593	1.53904993161147	0.958033560122386	1.43044526739499	2.67087257318096	0.938800381724573	0.353136152778374	3.16392827629567	1.39454372882271	1.28420269631178	2.20858907540394	1.51364178285936	1.86009947326568	0.54024547294297	1.47843555485226	0.886014454337116
"C1QTNF7"	0.208239592565544	0.786443031751437	0.98181481397163	0.819472195510064	0.775230934346223	2.73998303071607	0.100823589500514	0.509016858841122	1.38866221653948	0.0376838721718072	0.482632316083044	1.68481962492613	0.226970785959322	0.121563465366491	0.537834087095874	0.608522286492358	0.418108975120825
"CPED1"	0.0262277323131221	0.0106385488634461	0.0971582482160632	0.0559496356871325	0.106098444359603	0.27204730429475	0.0370963877163052	0.00596799796575981	0.101529339676001	0.0855337681618125	0.146175347567154	0.30861560655064	0.129874484821073	0.433454806763527	0.0102605391604255	0.269388815424406	0.0178180744568735
"RHOJ"	1.06503985314674	0.963851262366043	0.994352528543831	1.29430816972318	1.86004905168136	1.58689254580529	1.55024874227384	0.731833903182727	1.6483075086588	0.850481032213435	1.08381443130803	1.4082405116272	1.40197697361995	1.35553970054514	0.404748749036417	0.289637015851406	0.409594379664029
"TNXB"	0	0	0	0	0	0.000842616380530395	0	0	0	0	0	0	0	0	0	0	0
"MSRB3"	0.627307186225675	0.371295716500501	0.759301711171375	0.249390495843585	0.781859162952257	1.04462515630329	1.41549744799236	0.0960033851939476	0.582630941776885	0.326902172223791	0.534196270009288	0.890213972310732	0.504952574620495	0.33895009892619	0.346245265360765	0.571071673339019	0.153750476278042
"FBLN5"	0.691684632935802	1.80413682739938	1.58115740332442	0.779406054176471	1.70516243623416	2.11685459059775	0.227736490913495	0.356170170289889	3.17582241302686	0.742994521846044	2.68821516447771	2.19444159458866	0.542315218043075	1.1135243021767	0.818580386379284	1.06797681010299	0.580600150013736
"FERMT2"	0.642327632629529	0.704162305953721	1.73768708087756	1.58235374731718	1.4131437877616	1.96523062342414	1.05059869938709	2.13125987701087	1.71535890765309	0.808544387691746	1.32867450186755	1.49179678480869	1.33689945376487	0.918199883190868	0.588928317660644	1.57433799233576	0.369581903908805
"ECSCR"	2.46519548449899	1.49750604380752	3.41738898372566	2.03018709450053	4.61212705366324	4.14717520071355	0.864903621154471	1.60691602579685	2.21569436778568	2.26699654713306	1.82570193907106	1.95844974613061	1.69230592698257	1.8773008763832	2.1166358760967	4.371628403328	3.4718743767361
"ANK2"	0.321792580090665	0.399075651507645	2.29995577688495	0.402093466135454	0.958597187056489	0.638301006414813	1.33440880529559	2.33745116061293	0.728988629943198	1.09686720243969	0.753142964635306	0.152878323649492	0.348618749412731	0.614492799231579	0.601470701100325	0.0847796443465115	0.0730545144074183
