"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"ETNK1"	4.09049355846264	4.20135548826079	3.5101517577843	4.07203289193279	2.80923126590459	4.81833931136285	3.3763667952457
"KAT6A"	2.68338542737647	3.29000335977174	3.32219929606294	3.11786955167638	2.96813684380229	3.85057942235636	4.25302109571151
"C11orf30"	1.42022367203741	2.12187578656866	2.04687866038452	1.53461446315222	1.85457021624876	2.12774387110228	2.2908991293115
"C2CD5"	3.34782862345153	4.09451900629096	3.38194641678175	3.56998316730572	2.89834381047238	3.24205062478618	3.36762407427817
"NAF1"	2.36699356698033	2.59843548020337	2.74102467189956	2.90632783479708	2.3868247389019	3.34208747213868	2.93841283379881
"PPM1D"	2.23829314111435	3.14784801493482	1.99226811308159	3.17314262808233	2.5516759664202	2.48185947881389	3.33681037523754
"PKP4"	3.25065314934824	3.26347090532444	3.0648138874585	3.42034226241291	3.23536097930383	4.08988368804411	3.85269304198542
"BEND3"	0.658700487770676	0.972463642450262	0.887396592202191	0.681364702690904	0.855699534984615	1.20219201344124	1.47056289453825
"RPS6KB1"	2.86961580349843	3.86448827403752	3.05002797689073	3.37326817503619	3.01920373397309	3.0959337004631	3.14628211926662
"CDK6"	2.31803767633931	3.88708654676436	2.77902433067571	1.49107575521831	3.49482519059568	4.22159872077629	3.30612805643197
"DDX52"	1.87475762807426	2.49535747107458	2.5536578595713	2.90261292097713	3.09595141754786	2.74620633417694	3.11255335399564
"ZNF473"	1.51316224872573	2.48766770385597	1.32051356051218	1.72693364038597	1.73560882304539	1.97409423578685	2.3735312877512
"AARS2"	3.22496713649474	3.1110889188531	3.05927912567645	3.08565069702685	2.87062512103218	3.6122404289634	4.37002474816031
"MTMR9"	1.6270534654702	1.78502317595434	2.00875936751517	2.35639316076761	1.94695912845547	2.35410089464334	2.22825381290462
"ERI1"	2.25538289565214	2.40034255140125	2.39434401573582	2.55232542237654	1.70322032844672	3.04665082694185	3.04644129316686
"EHHADH"	2.75139837635525	2.34134677924808	1.01461238403633	5.32725980902004	1.14940245709979	2.5463993839691	3.19055876309046
"CTH"	2.69477992479472	2.5986343752906	1.06357887162598	3.84000492286439	1.10150889213211	3.1823522390069	2.11038663100152
"BAIAP2L1"	3.02328995527191	2.29766978951891	1.68981351822858	2.89308257655095	0.584177461068762	0.387213631140202	2.39055901164576
"PABPC1"	9.17490072216294	8.26585879564717	9.43571609311958	9.36465887760356	8.91738998251001	9.98332854897954	8.98170141348537
"CYP3A43"	0.0539818358414007	0.0643981708452053	0	0.573183996677466	0.0592985101879987	0	0
"MYLK3"	0.0477393190870293	0.0210365885244335	0.0753217734945384	0.0887129293950056	0.0546622166885145	0.0266155950074486	0.170013484024716
"PLGLB1"	0.020183093062931	0.0508723449666688	0.148948417551573	2.27400366791424	0.0341740118316384	0.0482107917642314	0.0688119437007968
"OPRM1"	0.00495697102962312	0	0.0280508204055433	0.0110209026191415	0.0687096029923299	0.0100416559310038	0
"TMC2"	0.0143934310448432	0.0837331555041317	0	0.0356767606639068	0	0	0.101615453687102
"LRRC69"	0.192937735013418	0.215638219217216	0.212183323491389	0.171194014794277	0.151314619392494	0.23301678227137	1.61195372661904
"PRR23C"	0	0.0256139066622987	0.098445969650437	0	0.116960743450797	0	0
"SLC22A25"	0	0	0	1.45345699923811	0	0	0
"SLC22A9"	0	0	0	2.65618628936905	0	0.0108473538693929	0
"CACNG8"	0.0547554887445462	0.00564872070123332	0.0489877539633966	0.016322130519418	0.0468715378608041	0.0755670637626509	0.0141094925120802
"SEPT14"	0	0	0	0	0	0	0
"ANKRD36C"	0	0	0	0	0	0	0
"LECT2"	0	0	0	6.48737861912302	0.0993986302492176	0	0
"EFCAB5"	0.0526342295930151	0.148334391283186	0.311563565565316	0.0609231831052059	0.0529044078639578	0.743007770628447	0.705842138244187
"PRSS55"	0	0	0	0	0	0	0
"HYAL4"	0.0165900955917923	0	0	0.022507725467545	0	0	0
"CCDC65"	0.342780006768967	0.271781823614382	0.291689598551428	0.0778650014244062	0.356621623824061	0.170448764955182	0.288698153604023
"PDE6A"	0.33645707217847	0.0241680251089589	0.083092704531129	0.054649228961916	0.112219710371977	0.0971276825693813	0.050674566707561
"SPATA6L"	0.138226264055336	0.128305016440057	0.180691475216811	0.4942041191017	0.284806669819002	0.703211910445217	0.263850499912915
"SAMD7"	0	0	0.0379791387751434	0	0	0	0
"SHBG"	0.270059429468423	0.186689566203648	0.189424817689928	4.52461536601876	0.767329360714847	0.0703121072902398	0.342465427601553
"A4GNT"	0.0253989560174735	0.0177849701469935	0	0.147276346502138	0	0.0294807322712506	0.0157273432430497
"SLC10A5"	0.337640311288124	0.129043658104646	0.175552704228129	0.890950915486553	0.530963657927582	0.183305471471689	0.227386210532147
"PHKG1"	0.134618201302969	0.392234980706628	3.45251109493166	0.724401434488198	4.77097172310207	3.72301239639237	0.131288732386435
